file_path,category
augmented_audio_dataset\Forward\shift_backward_311.wav,Forward
augmented_audio_dataset\two\speed_down_1333.wav,two
augmented_audio_dataset\Happy\noise_448.wav,Happy
augmented_audio_dataset\One\pitch_up_921.wav,One
processed_recorded_audio\Go\Go_35.wav,Go
augmented_audio_dataset\Eight\shift_forward_193.wav,Eight
processed_recorded_audio\Bed\Bed_07.wav,Bed
augmented_audio_dataset\Seven\speed_down_997.wav,Seven
augmented_audio_dataset\Follow\reversed_280.wav,Follow
augmented_audio_dataset\Follow\volume_up_267.wav,Follow
augmented_audio_dataset\Go\noise_395.wav,Go
augmented_audio_dataset\Dog\original_104.wav,Dog
augmented_audio_dataset\three\pitch_up_1222.wav,three
processed_recorded_audio\Four\Four_21.wav,Four
augmented_audio_dataset\On\speed_up_847.wav,On
augmented_audio_dataset\yes\noise_1494.wav,yes
augmented_audio_dataset\No\volume_up_730.wav,No
augmented_audio_dataset\up\volume_up_1384.wav,up
augmented_audio_dataset\House\reversed_509.wav,House
augmented_audio_dataset\One\noise_890.wav,One
augmented_audio_dataset\Four\noise_371.wav,Four
augmented_audio_dataset\wow\volume_down_1454.wav,wow
augmented_audio_dataset\Happy\pitch_up_446.wav,Happy
augmented_audio_dataset\Right\original_952.wav,Right
augmented_audio_dataset\two\volume_up_1295.wav,two
augmented_audio_dataset\Down\pitch_down_170.wav,Down
processed_recorded_audio\zero\zero_22.wav,zero
augmented_audio_dataset\visual\volume_up_1440.wav,visual
augmented_audio_dataset\two\shift_forward_1289.wav,two
augmented_audio_dataset\Follow\shift_backward_261.wav,Follow
augmented_audio_dataset\Left\pitch_up_616.wav,Left
augmented_audio_dataset\Stop\volume_up_1175.wav,Stop
augmented_audio_dataset\Forward\shift_backward_301.wav,Forward
augmented_audio_dataset\Learn\speed_up_559.wav,Learn
processed_recorded_audio\zero\zero_19.wav,zero
augmented_audio_dataset\visual\volume_down_1424.wav,visual
augmented_audio_dataset\tree\noise_1249.wav,tree
augmented_audio_dataset\Happy\pitch_down_456.wav,Happy
augmented_audio_dataset\Bed\original_41.wav,Bed
augmented_audio_dataset\Nine\pitch_up_697.wav,Nine
augmented_audio_dataset\zero\noise_1533.wav,zero
augmented_audio_dataset\up\speed_up_1388.wav,up
augmented_audio_dataset\House\volume_down_505.wav,House
augmented_audio_dataset\Seven\pitch_down_1024.wav,Seven
processed_recorded_audio\Follow\Follow_29.wav,Follow
augmented_audio_dataset\up\pitch_down_1354.wav,up
augmented_audio_dataset\On\speed_down_832.wav,On
augmented_audio_dataset\Follow\shift_forward_261.wav,Follow
augmented_audio_dataset\On\shift_forward_864.wav,On
augmented_audio_dataset\Bird\speed_up_97.wav,Bird
augmented_audio_dataset\Follow\speed_up_250.wav,Follow
augmented_audio_dataset\No\reversed_745.wav,No
augmented_audio_dataset\House\shift_forward_514.wav,House
augmented_audio_dataset\tree\shift_backward_1261.wav,tree
augmented_audio_dataset\Off\volume_up_781.wav,Off
augmented_audio_dataset\Right\noise_965.wav,Right
augmented_audio_dataset\One\speed_down_891.wav,One
processed_recorded_audio\Left\Left_48.wav,Left
augmented_audio_dataset\Stop\noise_1143.wav,Stop
augmented_audio_dataset\Follow\volume_down_252.wav,Follow
augmented_audio_dataset\Stop\shift_forward_1125.wav,Stop
processed_recorded_audio\Right\Right_46.wav,Right
augmented_audio_dataset\Happy\speed_up_486.wav,Happy
augmented_audio_dataset\Bird\pitch_up_84.wav,Bird
augmented_audio_dataset\Five\speed_down_208.wav,Five
augmented_audio_dataset\tree\original_1274.wav,tree
augmented_audio_dataset\Four\noise_361.wav,Four
augmented_audio_dataset\Learn\volume_up_561.wav,Learn
augmented_audio_dataset\tree\speed_down_1236.wav,tree
augmented_audio_dataset\zero\speed_up_1533.wav,zero
augmented_audio_dataset\Right\pitch_up_970.wav,Right
augmented_audio_dataset\Sheila\shift_forward_1046.wav,Sheila
augmented_audio_dataset\No\shift_backward_747.wav,No
augmented_audio_dataset\zero\noise_1507.wav,zero
augmented_audio_dataset\One\volume_down_911.wav,One
augmented_audio_dataset\Seven\speed_down_984.wav,Seven
augmented_audio_dataset\Bed\speed_up_37.wav,Bed
augmented_audio_dataset\No\volume_down_765.wav,No
augmented_audio_dataset\Stop\reversed_1172.wav,Stop
augmented_audio_dataset\Marvin\speed_up_663.wav,Marvin
augmented_audio_dataset\Five\volume_down_240.wav,Five
augmented_audio_dataset\Seven\shift_forward_1003.wav,Seven
augmented_audio_dataset\Backward\reversed_25.wav,Backward
augmented_audio_dataset\yes\reversed_1495.wav,yes
augmented_audio_dataset\Marvin\speed_up_681.wav,Marvin
augmented_audio_dataset\up\original_1370.wav,up
augmented_audio_dataset\Seven\pitch_down_1010.wav,Seven
augmented_audio_dataset\Sheila\shift_forward_1040.wav,Sheila
augmented_audio_dataset\Five\pitch_up_208.wav,Five
processed_recorded_audio\two\two_38.wav,two
augmented_audio_dataset\up\noise_1364.wav,up
augmented_audio_dataset\two\speed_up_1315.wav,two
augmented_audio_dataset\On\speed_up_866.wav,On
processed_recorded_audio\Happy\Happy_10.wav,Happy
augmented_audio_dataset\tree\shift_forward_1245.wav,tree
augmented_audio_dataset\Sheila\shift_backward_1041.wav,Sheila
augmented_audio_dataset\Go\speed_down_424.wav,Go
augmented_audio_dataset\Go\noise_426.wav,Go
augmented_audio_dataset\Marvin\volume_up_655.wav,Marvin
augmented_audio_dataset\Bed\speed_up_58.wav,Bed
augmented_audio_dataset\Five\volume_down_230.wav,Five
augmented_audio_dataset\On\pitch_down_860.wav,On
augmented_audio_dataset\yes\speed_down_1484.wav,yes
augmented_audio_dataset\Off\shift_forward_787.wav,Off
augmented_audio_dataset\Six\original_1096.wav,Six
processed_recorded_audio\Six\Six_32.wav,Six
augmented_audio_dataset\Bed\reversed_59.wav,Bed
augmented_audio_dataset\Backward\volume_down_29.wav,Backward
augmented_audio_dataset\Five\shift_backward_243.wav,Five
augmented_audio_dataset\Six\reversed_1093.wav,Six
augmented_audio_dataset\House\volume_down_524.wav,House
augmented_audio_dataset\Sheila\shift_forward_1060.wav,Sheila
augmented_audio_dataset\Nine\pitch_down_720.wav,Nine
augmented_audio_dataset\Dog\original_113.wav,Dog
augmented_audio_dataset\House\pitch_down_499.wav,House
augmented_audio_dataset\Sheila\speed_up_1065.wav,Sheila
augmented_audio_dataset\Six\shift_backward_1096.wav,Six
augmented_audio_dataset\Learn\pitch_up_578.wav,Learn
augmented_audio_dataset\Go\original_431.wav,Go
augmented_audio_dataset\One\shift_backward_903.wav,One
augmented_audio_dataset\three\noise_1219.wav,three
augmented_audio_dataset\One\pitch_up_891.wav,One
augmented_audio_dataset\Off\original_789.wav,Off
augmented_audio_dataset\Stop\shift_backward_1161.wav,Stop
augmented_audio_dataset\One\reversed_885.wav,One
augmented_audio_dataset\On\volume_down_844.wav,On
augmented_audio_dataset\two\noise_1333.wav,two
augmented_audio_dataset\three\shift_backward_1222.wav,three
augmented_audio_dataset\No\volume_down_769.wav,No
augmented_audio_dataset\Backward\shift_backward_28.wav,Backward
augmented_audio_dataset\Backward\original_26.wav,Backward
augmented_audio_dataset\Eight\volume_up_206.wav,Eight
augmented_audio_dataset\tree\original_1243.wav,tree
augmented_audio_dataset\wow\pitch_down_1452.wav,wow
augmented_audio_dataset\Sheila\reversed_1056.wav,Sheila
augmented_audio_dataset\yes\speed_up_1479.wav,yes
augmented_audio_dataset\Bed\original_58.wav,Bed
augmented_audio_dataset\zero\volume_down_1532.wav,zero
augmented_audio_dataset\Right\volume_down_974.wav,Right
augmented_audio_dataset\yes\shift_forward_1501.wav,yes
augmented_audio_dataset\zero\noise_1523.wav,zero
augmented_audio_dataset\One\pitch_down_886.wav,One
augmented_audio_dataset\up\speed_down_1353.wav,up
augmented_audio_dataset\Bed\reversed_50.wav,Bed
augmented_audio_dataset\visual\speed_up_1421.wav,visual
augmented_audio_dataset\visual\reversed_1428.wav,visual
augmented_audio_dataset\On\volume_up_823.wav,On
augmented_audio_dataset\Follow\volume_down_247.wav,Follow
processed_recorded_audio\Forward\Forward_20.wav,Forward
augmented_audio_dataset\Left\noise_609.wav,Left
augmented_audio_dataset\Six\pitch_down_1113.wav,Six
augmented_audio_dataset\three\shift_forward_1176.wav,three
augmented_audio_dataset\Left\shift_forward_599.wav,Left
augmented_audio_dataset\One\speed_up_890.wav,One
augmented_audio_dataset\Six\noise_1089.wav,Six
augmented_audio_dataset\Left\shift_forward_624.wav,Left
augmented_audio_dataset\Go\shift_forward_420.wav,Go
augmented_audio_dataset\Go\shift_backward_413.wav,Go
augmented_audio_dataset\On\original_833.wav,On
augmented_audio_dataset\Stop\reversed_1134.wav,Stop
augmented_audio_dataset\House\speed_up_499.wav,House
augmented_audio_dataset\Marvin\volume_up_646.wav,Marvin
augmented_audio_dataset\Stop\speed_down_1128.wav,Stop
augmented_audio_dataset\On\volume_down_833.wav,On
augmented_audio_dataset\Right\speed_up_972.wav,Right
augmented_audio_dataset\Right\noise_926.wav,Right
augmented_audio_dataset\Sheila\volume_down_1067.wav,Sheila
augmented_audio_dataset\Marvin\volume_down_635.wav,Marvin
processed_recorded_audio\Left\Left_31.wav,Left
augmented_audio_dataset\wow\speed_up_1450.wav,wow
augmented_audio_dataset\Stop\volume_up_1161.wav,Stop
augmented_audio_dataset\Learn\pitch_up_552.wav,Learn
augmented_audio_dataset\House\original_538.wav,House
augmented_audio_dataset\On\original_827.wav,On
augmented_audio_dataset\two\noise_1287.wav,two
augmented_audio_dataset\yes\noise_1491.wav,yes
processed_recorded_audio\Bed\Bed_06.wav,Bed
augmented_audio_dataset\Seven\pitch_up_1019.wav,Seven
augmented_audio_dataset\two\shift_backward_1310.wav,two
augmented_audio_dataset\One\volume_down_918.wav,One
augmented_audio_dataset\Sheila\reversed_1067.wav,Sheila
augmented_audio_dataset\Seven\pitch_down_992.wav,Seven
augmented_audio_dataset\Happy\speed_up_458.wav,Happy
augmented_audio_dataset\House\pitch_down_548.wav,House
augmented_audio_dataset\Stop\pitch_down_1151.wav,Stop
augmented_audio_dataset\Forward\pitch_down_305.wav,Forward
augmented_audio_dataset\Down\speed_down_137.wav,Down
augmented_audio_dataset\Bird\pitch_up_95.wav,Bird
augmented_audio_dataset\No\pitch_down_729.wav,No
augmented_audio_dataset\Five\shift_backward_218.wav,Five
augmented_audio_dataset\yes\reversed_1505.wav,yes
augmented_audio_dataset\yes\volume_up_1483.wav,yes
augmented_audio_dataset\Happy\shift_forward_451.wav,Happy
augmented_audio_dataset\Learn\volume_down_576.wav,Learn
processed_recorded_audio\Four\Four_28.wav,Four
augmented_audio_dataset\House\original_494.wav,House
augmented_audio_dataset\Happy\pitch_down_471.wav,Happy
augmented_audio_dataset\Bed\volume_up_41.wav,Bed
augmented_audio_dataset\Follow\volume_down_277.wav,Follow
augmented_audio_dataset\tree\volume_up_1235.wav,tree
augmented_audio_dataset\Forward\original_320.wav,Forward
processed_recorded_audio\Forward\Forward_29.wav,Forward
processed_recorded_audio\Six\Six_22.wav,Six
augmented_audio_dataset\Forward\shift_forward_310.wav,Forward
processed_recorded_audio\three\three_53.wav,three
augmented_audio_dataset\Bird\volume_down_92.wav,Bird
augmented_audio_dataset\visual\volume_up_1434.wav,visual
augmented_audio_dataset\Nine\speed_up_694.wav,Nine
augmented_audio_dataset\Sheila\speed_up_1067.wav,Sheila
augmented_audio_dataset\Nine\volume_down_719.wav,Nine
augmented_audio_dataset\wow\reversed_1456.wav,wow
augmented_audio_dataset\Nine\volume_down_682.wav,Nine
augmented_audio_dataset\zero\reversed_1507.wav,zero
augmented_audio_dataset\Happy\volume_down_448.wav,Happy
augmented_audio_dataset\Bed\noise_41.wav,Bed
augmented_audio_dataset\Dog\volume_down_105.wav,Dog
augmented_audio_dataset\One\shift_forward_902.wav,One
augmented_audio_dataset\Backward\speed_down_7.wav,Backward
augmented_audio_dataset\House\shift_forward_516.wav,House
augmented_audio_dataset\Dog\original_125.wav,Dog
augmented_audio_dataset\two\pitch_up_1303.wav,two
augmented_audio_dataset\Left\pitch_up_631.wav,Left
augmented_audio_dataset\Five\volume_up_230.wav,Five
augmented_audio_dataset\House\shift_backward_522.wav,House
augmented_audio_dataset\Nine\speed_up_693.wav,Nine
augmented_audio_dataset\Eight\speed_down_201.wav,Eight
augmented_audio_dataset\two\volume_up_1289.wav,two
augmented_audio_dataset\Learn\shift_backward_570.wav,Learn
augmented_audio_dataset\Six\speed_down_1120.wav,Six
augmented_audio_dataset\two\speed_down_1336.wav,two
augmented_audio_dataset\three\speed_up_1219.wav,three
augmented_audio_dataset\Go\pitch_up_429.wav,Go
augmented_audio_dataset\Six\volume_up_1083.wav,Six
augmented_audio_dataset\visual\volume_down_1404.wav,visual
augmented_audio_dataset\Stop\pitch_up_1150.wav,Stop
augmented_audio_dataset\Follow\shift_backward_244.wav,Follow
processed_recorded_audio\Follow\Follow_27.wav,Follow
augmented_audio_dataset\three\shift_forward_1197.wav,three
augmented_audio_dataset\yes\reversed_1478.wav,yes
augmented_audio_dataset\Nine\volume_up_715.wav,Nine
augmented_audio_dataset\Left\pitch_down_614.wav,Left
