file_path,category,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
augmented_audio_dataset\Forward\shift_backward_311.wav,Forward,-488.0416,18.60335,-0.6895317,0.18332045,2.1702313,-0.8370614,-0.46036744,-2.5180433,-0.67777497,-2.246063,0.66230035,2.3064249,-2.5600019,1.0742327
augmented_audio_dataset\two\speed_down_1333.wav,two,-454.0302,15.233376,4.5306582,-1.3091346,-3.6530282,1.8278735,0.3496765,-3.046996,-1.3809834,-3.820691,-2.921716,-1.0202895,-2.208631,1.909642
augmented_audio_dataset\Happy\noise_448.wav,Happy,-343.39783,3.5881174,-0.24262743,3.5448616,-0.079204984,0.21312857,-2.784275,0.7793617,-1.3759553,1.0626147,-1.4726282,1.1378793,-1.666228,1.1140487
augmented_audio_dataset\One\pitch_up_921.wav,One,-483.23114,12.7251835,1.697871,2.5039425,1.0337725,-0.34926733,0.078295045,-0.29907605,-0.7895455,-0.4858447,-0.072875425,0.16867134,1.1341068,0.31701165
processed_recorded_audio\Go\Go_35.wav,Go,-487.46747,15.954627,5.6138506,2.151869,-0.075016364,-0.80176276,0.7098885,-0.34336692,-0.8482302,-1.0877104,-1.4455812,-0.64531267,-0.562656,0.7370781
augmented_audio_dataset\Eight\shift_forward_193.wav,Eight,-504.92218,5.34692,-1.016004,3.210478,0.32601535,-3.344494,-1.9594461,0.023556551,-2.46856,-1.8181562,-0.39615256,-0.069518946,-0.8269942,-0.07411811
processed_recorded_audio\Bed\Bed_07.wav,Bed,-536.1918,11.210041,-0.44240284,3.355414,2.2511046,-2.6913722,-2.5064104,0.07252514,0.25409204,-0.7973766,-0.04028865,0.6296585,-0.6098535,0.16495676
augmented_audio_dataset\Seven\speed_down_997.wav,Seven,-469.22318,12.927611,0.74133384,4.423848,3.1655183,-0.47405237,-1.896124,-0.55276,-0.21428263,0.72022027,0.10091886,0.24023034,0.07984755,2.5783105
augmented_audio_dataset\Follow\reversed_280.wav,Follow,-516.94147,12.909699,1.4243567,-0.25299034,-1.5305432,-2.9878454,-1.2449634,-0.93715364,-2.1493073,-2.5278542,-0.5210438,-1.11221,-1.5667527,0.39262107
augmented_audio_dataset\Follow\volume_up_267.wav,Follow,-428.75876,13.542213,0.17308113,0.18706918,-1.4066261,-2.8951752,-2.1866817,-0.8054779,-1.5840293,-0.96300495,-0.88624036,-0.024649953,-0.5480543,0.7720823
